,employer_id,employer_name,industry_id,industry_name
0,100023,Solostyle,"Одежда, обувь, аксессуары, текстиль  (продвижение, оптовая торговля)","Одежда, обувь, аксессуары, текстиль  (продвижение, оптовая торговля)"
1,100023,Solostyle,"Одежда, обувь, аксессуары, текстиль (производство)","Одежда, обувь, аксессуары, текстиль (производство)"
2,100023,Solostyle,"Розничная сеть (одежда, обувь, аксессуары)","Розничная сеть (одежда, обувь, аксессуары)"
3,1002023,Клевер Пампкин,"Розничная сеть (электроника, бытовая техника)","Розничная сеть (электроника, бытовая техника)"
4,1002023,Клевер Пампкин,Разработка программного обеспечения,Разработка программного обеспечения
5,1002298,ITFB Group,Разработка программного обеспечения,Разработка программного обеспечения
6,1002298,ITFB Group,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг","Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
7,1002601,"Волгасофт, Группа компаний",Разработка программного обеспечения,Разработка программного обеспечения
8,10027,Комлинк Телеком,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг","Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
9,1003358,Сибирские моторы,Финансовые услуги (кэптивные банки и лизинговые компании),Финансовые услуги (кэптивные банки и лизинговые компании)
10,1003358,Сибирские моторы,"Техническое обслуживание, ремонт автомобилей","Техническое обслуживание, ремонт автомобилей"
11,1003358,Сибирские моторы,"Автозапчасти, шины (розничная торговля)","Автозапчасти, шины (розничная торговля)"
12,1003358,Сибирские моторы,"Автокомпоненты, запчасти, шины (продвижение, оптовая торговля)","Автокомпоненты, запчасти, шины (продвижение, оптовая торговля)"
13,1003358,Сибирские моторы,"Легковые, грузовые автомобили, мототехника, автобусы, троллейбусы (продвижение, оптовая торговля)","Легковые, грузовые автомобили, мототехника, автобусы, троллейбусы (продвижение, оптовая торговля)"
14,1003592,"Ленстройкомплектация, ЗАО (холдинг ПО Ленстройматериалы)","Добыча и обогащение минерального сырья (соль, сера, глинозем), разработка карьеров (песок, глина, камень), добыча торфа","Добыча и обогащение минерального сырья (соль, сера, глинозем), разработка карьеров (песок, глина, камень), добыча торфа"
15,1003592,"Ленстройкомплектация, ЗАО (холдинг ПО Ленстройматериалы)","Управляющая, инвестиционная компания (управление активами)","Управляющая, инвестиционная компания (управление активами)"
16,100424,"Единая электронная торговая площадка, АО (группа ВТБ)","Управляющая, инвестиционная компания (управление активами)","Управляющая, инвестиционная компания (управление активами)"
17,100424,"Единая электронная торговая площадка, АО (группа ВТБ)","Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг","Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
18,1004260,Банковские и Финансовые Системы,"Финансово-кредитное посредничество (биржа, брокерская деятельность, выпуск и обслуживание карт, оценка рисков, обменные пункты, агентства по кредитованию, инкассация, ломбард, платежные системы)","Финансово-кредитное посредничество (биржа, брокерская деятельность, выпуск и обслуживание карт, оценка рисков, обменные пункты, агентства по кредитованию, инкассация, ломбард, платежные системы)"
19,1004355,РУСБТ,"Розничная сеть (электроника, бытовая техника)","Розничная сеть (электроника, бытовая техника)"
20,1004355,РУСБТ,"Бытовая техника, электроника, климатическое оборудование (производство)","Бытовая техника, электроника, климатическое оборудование (производство)"
21,1004355,РУСБТ,"Бытовая техника, электроника, климатическое оборудование (продвижение, оптовая торговля)","Бытовая техника, электроника, климатическое оборудование (продвижение, оптовая торговля)"
22,1004443,Новосибирскэнергосбыт,Сбыт и потребление электроэнергии,Сбыт и потребление электроэнергии
23,1004443,Новосибирскэнергосбыт,"Передача, распределение электроэнергии","Передача, распределение электроэнергии"
24,1004443,Новосибирскэнергосбыт,"Инфраструктурная компания в энергетике (СО ЕЭС, АТС, ЦФР и т.п.)","Инфраструктурная компания в энергетике (СО ЕЭС, АТС, ЦФР и т.п.)"
25,1004616,«DynamicSun LLC»,Разработка программного обеспечения,Разработка программного обеспечения
26,1004616,«DynamicSun LLC»,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг","Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
27,100502,PROGRESSION GROUP,"Маркетинговые, рекламные, BTL, дизайнерские, Event-, PR-агентства, организация выставок","Маркетинговые, рекламные, BTL, дизайнерские, Event-, PR-агентства, организация выставок"
28,1005668,Онпоинт,Разработка программного обеспечения,Разработка программного обеспечения
29,100567,Pelican,"Одежда, обувь, аксессуары, текстиль  (продвижение, оптовая торговля)","Одежда, обувь, аксессуары, текстиль  (продвижение, оптовая торговля)"
30,100567,Pelican,"Одежда, обувь, аксессуары, текстиль (производство)","Одежда, обувь, аксессуары, текстиль (производство)"
31,100567,Pelican,"Розничная сеть (одежда, обувь, аксессуары)","Розничная сеть (одежда, обувь, аксессуары)"
32,1005830,Самара-Авто,"Легковые, грузовые автомобили, мототехника, автобусы, троллейбусы (производство)","Легковые, грузовые автомобили, мототехника, автобусы, троллейбусы (производство)"
33,1005830,Самара-Авто,Розничная торговля автомобилями (дилерский центр),Розничная торговля автомобилями (дилерский центр)
34,1005830,Самара-Авто,"Легковые, грузовые автомобили, мототехника, автобусы, троллейбусы (продвижение, оптовая торговля)","Легковые, грузовые автомобили, мототехника, автобусы, троллейбусы (продвижение, оптовая торговля)"
35,1006442,Информационная группа Ю.Р.,Разработка программного обеспечения,Разработка программного обеспечения
36,1006590,ДИАЛЛ АЛЬЯНС,Добыча нефти,Добыча нефти
37,1006590,ДИАЛЛ АЛЬЯНС,Переработка газа,Переработка газа
38,1006590,ДИАЛЛ АЛЬЯНС,Добыча газа,Добыча газа
39,1006928,DeNet,Разработка программного обеспечения,Разработка программного обеспечения
40,1007061,Belle YOU,"Одежда, обувь, аксессуары, текстиль  (продвижение, оптовая торговля)","Одежда, обувь, аксессуары, текстиль  (продвижение, оптовая торговля)"
41,1007061,Belle YOU,"Одежда, обувь, аксессуары, текстиль (производство)","Одежда, обувь, аксессуары, текстиль (производство)"
42,1007061,Belle YOU,"Розничная сеть (одежда, обувь, аксессуары)","Розничная сеть (одежда, обувь, аксессуары)"
43,1007135,Имплант.ру,"Лаборатория, исследовательский центр","Лаборатория, исследовательский центр"
44,1007135,Имплант.ру,"Фармацевтическая продукция (продвижение, оптовая торговля)","Фармацевтическая продукция (продвижение, оптовая торговля)"
45,1007135,Имплант.ру,Интернет-магазин,Интернет-магазин
46,1007833,PVS-Studio,Разработка программного обеспечения,Разработка программного обеспечения
47,1008541,МФТИ ГУ,"Вуз, ссуз колледж, ПТУ","Вуз, ссуз колледж, ПТУ"
48,1008541,МФТИ ГУ,"Научно-исследовательская, научная, академическая деятельность","Научно-исследовательская, научная, академическая деятельность"
49,1009,CSBI,Разработка программного обеспечения,Разработка программного обеспечения
50,1009,CSBI,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг","Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
51,1009183,Квантрон,Разработка программного обеспечения,Разработка программного обеспечения
52,1009714,Пром-Инжиниринг,Оборудование и станки для металлургии и металлообработки (производство),Оборудование и станки для металлургии и металлообработки (производство)
53,1009714,Пром-Инжиниринг,"Органическая химия (продвижение, оптовая торговля)","Органическая химия (продвижение, оптовая торговля)"
54,1009714,Пром-Инжиниринг,Органическая химия (производство),Органическая химия (производство)
55,1009875,ITD Group (International IT-Distribution Group),Разработка программного обеспечения,Разработка программного обеспечения
56,100994,UNIFEST,Туристические компании,Туристические компании
57,1010480,Денвик,Разработка программного обеспечения,Разработка программного обеспечения
58,1010480,Денвик,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг","Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
59,1011251,ГК Дамате,"Сельскохозяйственная продукция (продвижение, оптовая торговля)","Сельскохозяйственная продукция (продвижение, оптовая торговля)"
60,1011251,ГК Дамате,"Молочная продукция (продвижение, оптовая торговля)","Молочная продукция (продвижение, оптовая торговля)"
61,1011251,ГК Дамате,Молочная продукция (производство),Молочная продукция (производство)
62,1011251,ГК Дамате,Мясная продукция (производство),Мясная продукция (производство)
63,1011251,ГК Дамате,"Мясная продукция (продвижение, оптовая торговля)","Мясная продукция (продвижение, оптовая торговля)"
64,1011515,Локарус,Разработка программного обеспечения,Разработка программного обеспечения
