id,name
1.395,Банковское ПО
1.400,Оптимизация сайта (SEO)
1.420,Администратор баз данных
1.474,Стартапы
1.475,Игровое ПО
1.536,CRM системы
1.744,Другое
1.3,"CTO, CIO, Директор по IT"
1.9,Web инженер
1.10,Web мастер
1.25,Аналитик
1.30,Арт-директор
1.50,Системы управления предприятием (ERP)
1.82,Инженер
1.89,Интернет
1.110,Компьютерная безопасность
1.113,"Консалтинг, Аутсорсинг"
1.116,Контент
1.117,Тестирование
1.137,Маркетинг
1.161,Мультимедиа
1.172,"Начальный уровень, Мало опыта"
1.203,Передача данных и доступ в интернет
1.211,"Поддержка, Helpdesk"
1.221,"Программирование, Разработка"
1.225,Продажи
1.232,Продюсер
1.246,Развитие бизнеса
1.270,Сетевые технологии
1.272,Системная интеграция
1.273,Системный администратор
1.274,Системы автоматизированного проектирования
1.277,"Сотовые, Беспроводные технологии"
1.295,Телекоммуникации
1.296,Технический писатель
1.327,Управление проектами
1.359,Электронная коммерция
