,employer_name,conditions
0,.wrk,Оформление по ТК
1,0-RANGE.COM Автоматизация Автобизнеса,Удаленка/гибрид
2,1 Московская Зеркальная фабрика,Оформление по ТК
3,1-й Советник,Корпоративный спорт
4,1-й Советник,Оформление по ТК
5,1-й Советник,Профессиональный рост
6,1-й Советник,Удаленка/гибрид
7,100 ЭКСПРЕСС,Удаленка/гибрид
8,1019,Корпоративный спорт
9,1019,Оформление по ТК
10,1019,Профессиональный рост
11,101XP,Гибкий график
12,12Storeez,ДМС
13,12Storeez,Оформление по ТК
14,12Storeez,Удаленка/гибрид
15,1C-Битрикс,Корпоративный спорт
16,1C-Битрикс,Оформление по ТК
17,"1C-КСУ, филиал в г. Барнауле",Оформление по ТК
18,1C-Рарус,Гибкий график
19,1C-Рарус,Корпоративный мобильный
20,1C-Рарус,Корпоративный спорт
21,1C-Рарус,Оформление по ТК
22,1C-Рарус,Почасовая оплата
23,1C-Рарус,Профессиональный рост
24,1C-Рарус,Удаленка/гибрид
25,1PAYMENT,Гибкий график
26,1PAYMENT,Оформление по ТК
27,1Коммерция,Корпоративный спорт
28,1С,Agile-команда
29,1С,Гибкий график
30,1С,Корпоративный спорт
31,1С,Оформление по ТК
32,1С,Удаленка/гибрид
33,1С International,Agile-команда
34,1С International,Гибкий график
35,1С International,Корпоративный английский
36,1С БИЗНЕС РЕШЕНИЯ,Оформление по ТК
37,1С Онлайн Геймс,ДМС
38,1С Онлайн Геймс,Удаленка/гибрид
39,1С-АВТОМАТИЗАЦИЯ,ДМС
40,1С-АВТОМАТИЗАЦИЯ,Профессиональный рост
41,1С-АВТОМАТИЗАЦИЯ,Удаленка/гибрид
42,1С-Архитектор бизнеса,Корпоративный английский
43,1С-Архитектор бизнеса,Корпоративный спорт
44,1С-Галэкс,Корпоративный спорт
45,1С-Галэкс,Удаленка/гибрид
46,1С-ИжТиСи,Оформление по ТК
47,1С-ИжТиСи,Удаленка/гибрид
48,1С-КПД,Профессиональный рост
49,1С-КПД,Удаленка/гибрид
50,1С:Апрель Софт,Гибкий график
51,1С:Апрель Софт,Корпоративный спорт
52,1С:Апрель Софт,Оформление по ТК
53,1С:Апрель Софт,Профессиональный рост
54,1С:Апрель Софт,Удаленка/гибрид
