,id,area_name,address_lat,address_lng,employer_id,employer_name
0,14694668,Тула,54.185099,37.612012,1196086,ЮниВеб
1,14820007,Тула,54.18209,37.573411,200522,"СофтЭксперт, г. Тула"
2,15518045,Санкт-Петербург,,,314182,Saber Interactive
5,16142474,Ижевск,,,1020927,Центр Информационных Технологий БАРС
6,16487878,Санкт-Петербург,,,314182,Saber Interactive
11,19094169,Санкт-Петербург,59.923928,30.328373,36753,ПетербургГаз
15,23040448,Чебоксары,0.0,0.0,712918,Гарант-Чебоксары
16,23473091,Санкт-Петербург,59.972316,30.311835,1539356,Солантек
17,23863827,Коломна,55.098903,38.775644,41144,АСКОН
23,24868756,Тула,54.189292,37.610808,653589,"Тутанхамон, Сеть ювелирных салонов"
25,25978701,Киров (Кировская область),58.602053,49.626817,1671906,ПРОГРАММНЫЙ ЦЕНТР
26,25985863,Ижевск,,,1020927,Центр Информационных Технологий БАРС
31,26212752,Тула,54.183523,37.611311,52582,Смартек
32,26280954,Тула,54.18209,37.573411,200522,"СофтЭксперт, г. Тула"
33,26281151,Тула,54.18209,37.573411,200522,"СофтЭксперт, г. Тула"
35,26298599,Новосибирск,54.853138,83.09853,714248,Xored
36,26298983,Новосибирск,54.853138,83.09853,714248,Xored
37,26299238,Новосибирск,,,714248,Xored
38,26299719,Новосибирск,,,714248,Xored
39,26299851,Новосибирск,,,714248,Xored
40,26300111,Новосибирск,,,714248,Xored
42,26662707,Новосибирск,,,714248,Xored
45,26785253,Москва,55.769423,37.559371,3460322,Актион Технологии
46,27213832,Липецк,,,3434171,Колесник Роман Юрьевич (iba AG)
47,27213888,Липецк,,,3434171,Колесник Роман Юрьевич (iba AG)
48,27845296,Нижний Новгород,56.289935,43.94244,3549219,ФКУ Центр по обеспечению деятельности Казначейства России
52,28495069,Санкт-Петербург,59.992821,30.381562,2519536,Специальный Технологический Центр
53,28668903,Нижний Новгород,56.289935,43.94244,3549219,ФКУ Центр по обеспечению деятельности Казначейства России
63,28810664,Новосибирск,55.039925,82.96248,3776,МТС
64,28840586,Самара,53.197370711,50.1173142884,665470,Открытый код
65,28879519,Омск,,,131539,ФТО
66,28943229,Санкт-Петербург,,,1413074,Техностар
