,id,name,area_name,salary_from,salary_to,salary_ccy,salary_gross
0,14694668,Junior разработчик (стажер),Тула,20000.0,,RUR,0.0
1,14820007,Программист 1С,Тула,70000.0,,RUR,1.0
2,15518045,Программист графики,Санкт-Петербург,,,,
5,16142474,Специалист по сопровождению ПО (техническая поддержка (2 линия),Ижевск,20000.0,70000.0,RUR,0.0
6,16487878,Программист С++,Санкт-Петербург,,,,
11,19094169,Ведущий инженер-программист,Санкт-Петербург,71000.0,,RUR,1.0
15,23040448,Программист 1С: Специалист по платформе,Чебоксары,80000.0,80000.0,RUR,1.0
16,23473091,Java / Kotlin Developer,Санкт-Петербург,,,,
17,23863827,Разработчик C#,Коломна,80000.0,120000.0,RUR,1.0
23,24868756,Программист 1С,Тула,120000.0,,RUR,0.0
25,25978701,Специалист отдела технической поддержки,Киров (Кировская область),25000.0,30000.0,RUR,0.0
26,25985863,Специалист технической поддержки (1 линия),Ижевск,20000.0,70000.0,RUR,0.0
31,26212752,Тестировщик ПО/ QA engineer (ручное тестирование),Тула,55000.0,,RUR,1.0
32,26280954,"Программист 1С (Управление торговлей, Розница)",Тула,70000.0,,RUR,1.0
33,26281151,"Программист 1С (БП, УТ)",Тула,70000.0,,RUR,1.0
35,26298599,Инженер-программист,Новосибирск,100000.0,170000.0,RUR,0.0
36,26298983,Junior Software Engineer,Новосибирск,55000.0,77000.0,RUR,0.0
37,26299238,Software Engineer Java,Новосибирск,,,,
38,26299719,Senior Software Engineer,Новосибирск,180000.0,,RUR,0.0
39,26299851,Programmer,Новосибирск,,,,
40,26300111,Software Engineer,Новосибирск,,,,
42,26662707,Software Engineer (java),Новосибирск,,,,
45,26785253,Frontend разработчик (react),Москва,,,,
46,27213832,Full-stack Web-разработчик,Липецк,,150000.0,RUR,0.0
47,27213888,Разработчик C++/C# под Windows,Липецк,,150000.0,RUR,0.0
48,27845296,Специалист по ИТ,Нижний Новгород,,,,
52,28495069,Математик / Программист,Санкт-Петербург,120000.0,180000.0,RUR,0.0
53,28668903,Системный администратор Landocs,Нижний Новгород,,,,
63,28810664,Специалист по работе с клиентами,Новосибирск,36400.0,,RUR,1.0
64,28840586,Junior Java developer,Самара,,,,
65,28879519,Аналитик внедрения 1С,Омск,,,,
66,28943229,Программист-разработчик C#,Санкт-Петербург,,200000.0,RUR,1.0
130,29631916,Проектировщик-разработчик решений для электронного документооборота с контролирующими органами,Москва,,,,
131,29632598,Программист 1С/Разработчик 1С на платформе 1С 8,Москва,,,,
132,29727630,Системный программист С/С++ (разработка ОС Аврора),Москва,,,,
133,29797509,Обновленец 1С (Стажер),Красноярск,35000.0,,RUR,1.0
134,29922007,"JavaScript (Node js, Angular js 10) full stack developer",Казань,,,,
135,29973440,Junior C++ developer,Рязань,50000.0,80000.0,RUR,0.0
136,29999894,Ведущий инженер Битрикс,Нижний Новгород,,,,
137,30138172,Middle frontend разработчик (Angular),Иваново (Ивановская область),,,,
139,30185978,Системный аналитик,Москва,,,,
140,30202910,Senior Java Developer,Москва,,,,
141,30215445,Системный администратор 1С (стажер),Красноярск,30000.0,60000.0,RUR,1.0
142,30244391,Программист-разработчик 1С,Тюмень,40000.0,,RUR,0.0
144,30522346,Программист-консультант 1С по бюджетному учету,Тула,100000.0,,RUR,1.0
146,30729158,Инженер-программист отдела сопровождения информационных систем,Санкт-Петербург,,,,
150,31069427,Системный аналитик (Тинькофф Страхование),Москва,,,,
151,31196771,C#\ .NET Senior Developer / ведущий инженер-программист,Новосибирск,,,,
152,31244298,DevOps Engineer,Новосибирск,,,,
153,31263045,Программист 1С 8 (удаленная работа),Самара,,180000.0,RUR,1.0
154,31296094,"Web-программист (PHP, Middle)",Киров (Кировская область),50000.0,75000.0,RUR,0.0
155,31296238,Старший программист C# (Middle),Киров (Кировская область),50000.0,75000.0,RUR,0.0
173,31526774,Аналитик внедрения 1С,Краснодар,,,,
176,31571439,Middle Java developer,Самара,,,,
177,31685520,Программист С#,Киров (Кировская область),,,,
179,31743190,Инженер-программист,Зеленоград,,,,
180,31746015,Инженер-разработчик,Зеленоград,,,,
184,32053545,Системный администратор,Екатеринбург,,,,
185,32084305,Специалист технической поддержки (1 линия),Новосибирск,,,,
186,32126408,Системный программист С/С++ (разработка ОС Аврора),Санкт-Петербург,,,,
187,32171578,"PHP-разработчик (full stack, middle or senior)",Тула,120000.0,170000.0,RUR,0.0
189,32414940,Системный аналитик,Пермь,,,,
191,32569325,C/C++ Developer in System-on-Chip Team,Москва,,,,
192,32610384,Middle / Senior iOS developer,Санкт-Петербург,90000.0,200000.0,RUR,0.0
193,32611281,Middle / Senior Frontend developer,Санкт-Петербург,90000.0,200000.0,RUR,0.0
194,32614916,Middle / Senior Android developer,Санкт-Петербург,90000.0,200000.0,RUR,0.0
